"text","cmp_code","eu_code"
"Financiación","H",NA
"El actual modelo de financiación autonómica, vigente desde 2009 y caducado desde 2014, discrimina a los valencianos y valencianas y no nos permite desarrollar nuestras competencias, especialmente en materia social y promoción del empleo.","301",NA
"Por eso es inaplazable reformarlo de manera inmediata.","301",NA
"La propuesta de un nuevo modelo de financiación definida por el grupo de expertos nombrados por el Govern Valencià responde a criterios que permitirían a todas las comunidades autónomas acceder a una financiación equilibrada con las competencias que tiene transferidas;","301",NA
"asegurar que los servicios se puedan prestar en iguales condiciones a toda la ciudadanía, con independencia de su lugar de residencia;","504",NA
"y permitir el ejercicio real de la autonomía de cada comunidad en el desarrollo de sus políticas de ingresos y gastos.","301",NA
"Propuestas","H",NA
"1. Exigiremos al Gobierno del Estado el establecimiento de un calendario para la reforma inmediata del sistema de financiación autonómica, basada en las recomendaciones de los expertos nombrados por el Consell;","301",NA
"así como la aprobación de mecanismos temporales de compensación mientras esta reforma no se produzca.","301",NA
"2. Defenderemos que la reforma inmediata y profunda del sistema de financiación autonómica se produzca con efectos del 1 de enero de 2014 y posibilite así a los valencianos y valencianas disponer de unos servicios públicos fu ndamentales (sanidad, educación, servicios sociales y protección social) de calidad,","504",NA
"y permita, de igual manera, el ejercicio de las competencias propias (empleo, vivienda, medio ambiente, infraestructuras, cultura, promoción económica, etc.) con el fin de alcanzar, al menos, la media de financiación por habitante del conjunto de comunidades autónomas.","301",NA
"3. Propondremos que el nuevo sistema de financiación contemple un tramo a través del cual las administraciones autonómicas puedan desarrollar otro tipo de competencias no básicas.","301",NA
"Este tramo debería poder ser financiado, en buena medida, con tributos propios que recaudara la propia comunidad autónoma o, en caso de insuficiencia fiscal, con transferencias de nivelación.","301",NA
"A través de este mecanismo aseguraríamos una mayor corresponsabilidad fiscal y, al mismo tiempo, un mayor grado de autonomía.","301",NA
"4. Exigiremos el reconocimiento de la deuda histórica desde que se produjeron las transferencias de competencias a la Generalitat Valenciana, cifrada en, por lo menos, 20.000 millones de euros;","301",NA
"así como la definición y el establecimiento de un mecanismo de compensación de estos déficits.","301",NA
"5. Continuaremos desplegando la Agencia Tributaria Valenciana como instrumento para asumir la descentralización de los ingresos y mejorar la eficiencia y la autonomía en la gestión de los tributos propios, aprovechando el conocimiento y la implantación territorial de la Generalitat.","301",NA
"6. Defenderemos una reforma del sistema de financiación de las entidades locales que les garantice un espacio fiscal propio con el que hacer frente a sus competencias y que tenga en cuenta la diversidad del mundo local con vista a una segunda descentralización.","301",NA
"Servicios sociales","H",NA
"La aprobación de la Ley de Servicios Sociales Inclusivos supone crear, estructurar y generar un verdadero Sistema Público de Servicios Sociales que los reconoce como de interés general y esenciales para las personas, y garantiza el ejercicio efectivo de sus derechos fundamentales y un elevado nivel de protección social, que refuerza la cohesión social y territorial.","504",NA
"Recuperamos la centralidad de la persona en todo el sistema, garantizando sus derechos y ofreciendo una atención continuada a lo largo de su ciclo vital, con el acompañamiento de profesionales.","504",NA
"Las políticas inclusivas también incorporan las propuestas en materia de soluciones residenciales y de vivienda pública","504",NA
"y de migración y cooperación internacional, porque son una continuidad de los derechos sociales.","107",NA
"Propuestas","H",NA
"1. Desplegaremos intensamente la nueva Ley de Servicios Sociales Inclusivos, para garantizar los derechos sociales de la ciudadanía.","504",NA
"En este sentido, diseñaremos el Sistema de Información Valenciano en Servicios Sociales, para poder desarrollar la Historia Social Única,","504",NA
"y crearemos el Comité Valenciano de Ética para velar por un funcionamiento profesional y de calidad, con garantías y empatía en los servicios sociales.","504",NA
"2. Potenciaremos e implementaremos el Plan Valenciano de Inclusión y Cohesión Social como hoja de ruta compartida del Govern y la sociedad civil, para garantizar una sociedad más justa, igualitaria y feliz.","504",NA
"3. Regularemos la profesionalización de las personas cuidadoras en el entorno familiar.","504",NA
"4. Pondremos en marcha, en colaboración con las diputaciones provinciales, una red de centros sociales públicos, comarcales, basados en un modelo que fomente la autonomía personal, la solidaridad intergeneracional y evite el desarraigo.","504",NA
"5. Impulsaremos la Estrategia Estatal de Envejecimiento Activo 2020-2025 que incluya, junto a los programas de estancias vacacionales y el termalismo, una programación cultural, deportiva y social que fomente el envejecimiento activo, saludable e inclusivo.","502",NA
"6. Flexibilizaremos la regla de gasto que actualmente se aplica en los ayuntamientos y que dificulta la reinversión de los superávits, para que se puedan destinar recursos a vivienda y alquiler social.","504",NA
"7. Elaboraremos y pondremos en marcha la Ley Valenciana de Accesibilidad Universal, para garantizar los derechos de las personas en su acceso a todos los espacios públicos y privados, entornos naturales, sistemas de transporte, medios de comunicación y servicios de atención a la ciudadanía.","503",NA
"8. Desarrollaremos la Ley para la Función Social de la Vivienda, para hacer efectivo el derecho a una vivienda digna y acabar con los desahucios de las personas más vulnerables de la sociedad.","504",NA
"En esta lí nea, ampliaremos el parque público de viviendas para ponerlo a disposición del alquiler social y del alquiler asequible, de forma que ninguna unidad familiar destine más del 30% de los ingresos.","504",NA
"9. Promoveremos una ley estatal que garantice el derecho a una vivienda digna;","504",NA
"que contemple la regulación del precio del alquiler,","412",NA
"la dación en pago de la primera vivienda,","403",NA
"la destinación de un 30% de la nueva construcción a vivienda protegida, de la cual un 7% irá destinada a alquiler joven;","504",NA
"y que pare los desahucios.","403",NA
"10. Simplificaremos y unificaremos las distintas prestaciones por desempleo de larga duración, como la renta activa de inserción (RAI) y el programa de activación para el empleo (PAE), y lo dotaremos de mayor estabilidad y lo referenciaremos al 60% del SMI.","504",NA
"Además, añadiremos un incremento sobre la prestación del 20% por cada hija o hijo menor de edad,","504",NA
"y facilitaremos la complementariedad con la Renta Valenciana de Inclusión.","504",NA
"11. Continuaremos desplegando la Ley Valenciana de Cooperación y Desarrollo Sostenible y el IV Plan Director de la Cooperación Valenciana para cumplir los compromisos del Pacto Valenciano contra la Pobreza y promover el desarrollo humano sostenible.","107",NA
"Impulsaremos procesos de democratización,","202.1",NA
"buen gobierno,","303",NA
"fomento de la paz","106",NA
"y el respecto de los derechos humanos de las mujeres y de los hombres, que consideran a las personas como titulares de derechos y a las administraciones como titulares de obligaciones.","201.2",NA
"Salud","H",NA
"Consideramos que la salud y el bienestar de las personas son un valor esencial que hay que preservar y promover en todos los ámbitos de la vida.","504",NA
