"text","cmp_code","eu_code"
"Aquí os presentamos el Programa Electoral de la Agrupación de Electores Teruel Existe, y nuestro compromiso para trabajar y dejarnos la piel exigiendo el cumplimiento de las medidas planteadas,","202.1",NA
"siendo la voz de los turolenses en el Congreso, y está vez será sin los intermediarios que con su disciplina de voto han paralizado las principales demandas de la provincia","301",NA
"El programa está agrupado en cinco grandes ejes, un Pacto de Estado contra la despoblación,","416.2",NA
"la accesibilidad física al territorio,","411",NA
"medidas para el desarrollo del medio rural,","410",NA
"la implantación de telecomunicaciones","411",NA
"y una Transición Justa para las cuencas mineras de Andorra.","416.2",NA
"Defendemos un modelo de desarrollo de país justo e igualitario, porque los diferentes gobiernos han generado un desequilibrio y vertebración en muchas zonas como la provincia de Teruel, que debe revertirse para tener una cohesión que siempre se ha buscado en los países de la UE.","416.2",NA
"Nuestro programa está basado en las promesas incumplidas con la provincia de Teruel durante los últimos 20 años y en el documento de la España Vaciada,","301",NA
"son medidas realistas, que se pueden cumplir en una legislatura de cuatro años, y las consideramos imprescindibles para poder cambiar la dramática situación de la provincia generando desarrollo y empleo.","410",NA
"Teruel Existe nos comprometemos a trabajar en el Congreso y el Senado para exigir:","H",NA
"PACTO DE ESTADO CONTRA LA DESPOBLACIÓN","H",NA
"Pacto de Estado por la Repoblación y el Reequilibrio territorial, con un mecanismo estable de financiación.","416.2",NA
"Fiscalidad diferenciada positiva, para fomentar la creación de empleo.","701",NA
"Economía social, para apoyar y fomentar la creación de entidades que atiendan las necesidades (empleo y servicios) de la población del medio rural.","403",NA
"Accesibilidad a los servicios básicos, sanitarios, educativos, sociales y de seguridad ciudadana equivalente a un desplazamiento inferior a los 30 minutos.","504",NA
"Descentralización de las sedes de órganos de la Administración y empresas públicas.","301",NA
"Accesibilidad a la red viaria de alta capacidad: para que todas las localidades queden a menos de 30 km de una autovía.","411",NA
"Una red mallada.","411",NA
"Vivienda: Rehabilitación del parque de vivienda del medio rural, vinculadas a su puesta en alquiler.","504",NA
"Empoderamiento y orgullo rural: fomentar la participación de la ciudadanía turolense en la toma de decisiones;","202.4",NA
"transmitir una imagen positiva del medio rural incrementando la autoestima individual y colectiva.","606.1",NA
"Desarrollo integral: apoyo y fomento de todos los sectores económicos en el medio rural y el teletrabajo, ya que es la única forma de desarrollar un territorio.","410",NA
"Fondos de la UE para las zonas despobladas: modificar los criterios de la UE para asignar fondos a las zonas escasamente pobladas y con desventajas demográficas graves y permanentes, modificando los criterios injustos de PIB/habitante que han invertido cientos de millones de los Fondos de Cohesión generando más desequilibrio y desvertebración en España.","416.2",NA
"MEDIO RURAL","H",NA
"Campo: apoyo a la agricultura y ganadería profesional.","703.1",NA
"Apoyo a las explotaciones familiares agrícolas y ganaderas, y en especial a las personas jóvenes.","703.1",NA
"Buscar un equilibrio en la PAC y su Equiparación con otros territorios.","703.1",NA
"Seguridad ciudadana en el medio rural.","605.1",NA
"Aumento del número de Guardias Civiles.","605.1",NA
"Mantenimiento de los cuarteles mejorando su infraestructura, en especial la vivienda.","605.1",NA
"Dotación de medios suficientes incluida la incorporación de nuevas tecnologías (telecomunicaciones, drones, etc.).","605.1",NA
"Ley de Desarrollo Sostenible del Medio Rural.","416.2",NA
"Recuperación de la Ley 45/2007 de forma efectiva, actualizándola.","416.2",NA
"Patrimonio cultural y natural: mantener y potenciar el patrimonio material e inmaterial con el que se identifica nuestra provincia.","502",NA
"Cumplimiento de la legislación de la UNESCO, la Unión Europea y la Constitución española.","502",NA
"Desarrollo sostenible y potenciación de los recursos endógenos: cuidar, potenciar y promocionar la riqueza natural y ambiental, y su gran potencial económico (turismo, servicios…).","416.2",NA
"Fomentar la Custodia del territorio","501",NA
"COMUNICACIONES Y ACCESIBILIDAD","H",NA
"Autovia A-68. Redacción de los proyectos constructivos para los 5 tramos pendientes hasta Valdealgorfa, e inicio de la ejecución de las obras.","411",NA
"Estudio informativo para los tramos entre Valdealgorfa y Vinarós.","411",NA
"Corredor ferroviario Cantábrico-Mediterráneo. Tramo Zaragoza-Teruel-Sagunto: aprobación definitiva de los estudios informativos Sagunto-Teruel y Teruel-Zaragoza;","411",NA
"licitación de la redacción de los proyectos constructivos de ambos tramos (doble vía electrificada de altas prestaciones y uso mixto, viajeros y mercancías).","411",NA
"N-330/420 (Rincón de Ademuz-Teruel). Realización de manera inmediata de las obras de mejora ya previstas en esta carretera.","411",NA
"A-40. Desbloqueo y aprobación del estudio informativo entre Cuenca y Teruel.","411",NA
"Inclusión en la planificación del Ministerio de Fomento de su prolongación por las Cuencas Mineras, Alcañiz y hasta Tarragona, convirtiéndose en una de las autovías vertebradoras de España, situando a más de la mitad de los pueblos de Teruel a 30 km de ella.","411",NA
"A-25. Actualizar el estudio informativo siguiendo el trámite hasta su aprobación.","411",NA
"Redacción de los proyectos constructivos para dejar de ser la única provincia sin autovía a Madrid.","411",NA
"Variantes de población de las carreteras nacionales incluidas en el PITVI: Continuación de los trámites administrativos o, si es el caso, iniciarlos.","411",NA
"Variantes de Villalba Baja, Utrillas, Montalbán, Gargallo, La Mata de los Olmos (DIA caducada), Calanda (DIA caducada), Valdeltormo, Calaceite, Vivel del Río y Martín del Río.","411",NA
"TELECOMUNICACIONES","H",NA
"Cumplir las leyes: cumplimiento de la directiva marco UE del programa Conecta Europa en el que todas las poblaciones tengan en menos de 20 km nodos de fibra óptica,","411",NA
