"text","cmp_code","eu_code"
"En marea, o cambio non hai quen o pare.","H",NA
"20 Ideas para o cambio que transformará Galicia.","H",NA
"enmarea.gal PODEMOS apoya Marea Galega",NA,NA
"Este é un texto que sintetiza as liñas programáticas básicas de En Marea.","000",NA
"Trátase dun documento dinámico que recolle o acordo de todas as forzas políticas e iniciativas cidadás que fan parte da coalición, e que se abre ao debate público para a súa mellora e enriquecemento.","000",NA
"Entendemos o programa como o noso compromiso e como as liñas orientadoras de acción nas Cortes.","000",NA
"Trátase dun documento aberto e un marco de diálogo que permitirá a participación cidadá no proxecto de En Marea ao tempo que unha ferramenta para a rendición de contas do grupo parlamentario.","202.4",NA
"Argumentos para o cambio","H",NA
"•",NA,NA
"Dereito a unha vida digna e plena: contra o empobrecemento da sociedade, a precariedade e a desigualdade.","503",NA
"•",NA,NA
"Medidas de inclusión social, cunha abordaxe integral, con obxectivos preventivos e transformadores, non só asistencialistas","504",NA
"• Aplicación xa da Lei de promoción da autonomía persoal e atención ás persoas en situación de dependencia.","504",NA
"• Perspectiva de xénero e perspectiva da diversidade social existente (persoas migrantes, persoas LGTBI, persoas con diversidade funcional, persoas presas,... )","503",NA
"O cambio que queremos","H",NA
"•",NA,NA
"Derrogar o artigo 135 da Constitución.","204",NA
"•",NA,NA
"Recuperar os Orzamentos para o ben público","606.1",NA
"•",NA,NA
"Auditar e restruturar a débeda pública.","408",NA
"•",NA,NA
"Rematar coa perda de poder adquisitivo de pensións, prestacións, subsidios e axudas sociais.","504",NA
"•",NA,NA
"Derrogar a lei estatal de racionalización e sostenibilidade da administración local","303",NA
"• Poñer fin aos recortes e privatizacións que só pretenden transformar dereitos sociais e democráticos en negocio, e garantir a súa xestión pública.","504",NA
"Alternativas: os nosos compromisos","H",NA
"•",NA,NA
"Garantía constitucional dos dereitos sociais","504",NA
"•",NA,NA
"Xa: renda mínima garantida, dereito a unha vida digna.","504",NA
"•",NA,NA
"Acceso garantido a suministros básicos.","503",NA
"•",NA,NA
"Restruturación da débeda hipotecaria dos fogares.","408",NA
"•",NA,NA
"Garantía de sostibilidade do sistema de pensións, prestacións, subsidios e axudas sociais e do seu poder adquisitivo.","504",NA
"Indexación das pensións ao IPC.","504",NA
"• Garantir por lei o 1% do orzamento en obra pública para a accesibi-lidade universal.","503",NA
"2. Igualdade real: un país de todas e para todas. Argumentos para o cambio •",NA,NA
"Perspectiva de xénero.","503",NA
"Igualdade real de dereitos civís, sociais e laborais.","503",NA
"•",NA,NA
"Feminización das políticas públicas.","503",NA
"Reorganización do sistema de coidados.","503",NA
"•",NA,NA
"Responsabilidade colectiva e compartida (administración, mercado,cidadanía) nas tarefas do coidado da vida.","606.1",NA
"•",NA,NA
"Abordaxe integral da violencia de xénero desde o ámbito educativo, sanitario, social, de seguridade, de xustiza.","503",NA
"•",NA,NA
"Violencias machistas: cuestión de Estado.","503",NA
"O cambio que queremos •",NA,NA
"Derrogar a última modificación da lei de Interrupción Voluntaria do Embarazo","604",NA
"•",NA,NA
"E queremos mudar a situación actual: en Galicia, máis do 90% das interrupcións dos embarazos realízanse en clínicas privadas, como consecuencia do exercicio desmedido e abusivo, do aínda non regulado exercicio do dereito á obxección de conciencia.","604",NA
"•",NA,NA
"Ante a situación de violéncia machista, frear o desmantelamento de centros e recursos adicados á promoción da igualdae e á prevención e atención as vítimas.","503",NA
"Alternativas: os nosos compromisos •",NA,NA
"Orzamentación de politicas específicas e transversais de xénero.","503",NA
"• Medios materiais para a creación de xulgados de violencia contra as mulleres e os consecuentes dispositivos de protección e inserción sociolaboral. •","503",NA
"Políticas públicas de igualdade: servizos públicos de calidade que dean cobertura as tarefas de coidado de vida; importante xacemento de emprego remunerado; compatibilidade entre a vida persoal e a vida laboral","503",NA
"•",NA,NA
"Interrupción voluntaria do embarazo. Asegurar o acceso de tódalas mulleres, sen exclusións,a través da sanidade pública, sen persecucións, informacións sesgadas nen presións,como acontece na actualidade.","604",NA
"•",NA,NA
"Lei integral contra a trata de persoas e contra a explotación sexual como formas extremas de violencia de machista","503",NA
"•",NA,NA
"Igualacion dos permisos de parternidade e maternidade.","503",NA
"Argumentos para o cambio •",NA,NA
"Progresividade fiscal efectiva","503",NA
"•",NA,NA
"Impostos adaptados a capacidade económica: exencións e elevación de tipos.","503",NA
"•",NA,NA
"Promover o bloqueo efectivo dos paraísos fiscais.","503",NA
"O cambio que queremos •",NA,NA
"Rematar co uso partidario da Axencia Tributaria.","303",NA
"•",NA,NA
"Loita contra a fraude, a evasión e a elusión fiscal loitar contra os paraísos fiscais.","503",NA
"Alternativas: os nosos compromisos •",NA,NA
"Desenvolvemento da lei xeral tributaria.","303",NA
"AEAT: profesionalidade, autonomía e recursos, con capacidade para loitar contra a fraude e a evasión fiscal.","303",NA
"•",NA,NA
"Erradicar os mecanismos de elusión fiscal.","403",NA
"Supresión das SICAV.","403",NA
"•",NA,NA
"Taxa sobre as transaccións financeiras internacionais.","403",NA
"•",NA,NA
"Fiscalidade verde.","501",NA
"•",NA,NA
"Nova política comercial asentada na cooperación.","403",NA
"Argumentos para o cambio •",NA,NA
"Garantir o dereito ao traballo","701",NA
"•",NA,NA
"Creación de emprego de calidade e con dereitos","701",NA
"•",NA,NA
"Contra a precarización e a inestabilidade laboral","701",NA
"•",NA,NA
"Que volva a nosa xente, traballar no país.","701",NA
"•",NA,NA
"Recoñecemento do persoal das administracións públicas e da súa función social.","303",NA
"O cambio que queremos •",NA,NA
"Derrogación da reforma laboral","701",NA
"•",NA,NA
"Recuperación dos dereitos laborais perdidos","701",NA
"•",NA,NA
