"text","cmp_code","eu_code"
"COMPROMISO CON LA CIUDADANÍA","H",NA
"COMPROMISO CON EUSKAL HERRIA","H",NA
"Queremos construir un país libre, justo y democrático,","202.1",NA
"que asegure todos los derechos y libertades para toda la ciudadanía,","201.2",NA
"protegiendo los intereses de las clases populares y su bienestar social.","503",NA
"Por ello, EH Bildu se compromete a: Defender el derecho de autodeterminación de la ciudadanía vasca expresado a través de un referéndum, como solución democrática apoyada por la amplia mayoría de la ciudadanía.","301",NA
"Defender el autogobierno y todas sus herramientas de los ataques del Estado Español.","301",NA
"Exigiremos la transferencia inmediata de todas las competencias pendientes, sin negociación ni mercadeo, porque los derechos de la sociedad vasca y navarra no se negocian, se cumplen.","301",NA
"Frenar a la derecha española, haciendo frente a la involución democrática, la re-centralización y el fascismo que representan, utilizando para ello nuestra influencia y nuestros votos.","202.1",NA
"Nos comprometemos también a no pactar con la derecha ni posibilitar ningún gobierno que cuente con su participación y/o colaboración.","202.1",NA
"Defender los derechos de los y las presas vascas, acabando con la dispersión, las medidas de excepción y trabajando para que todas estén en casa.","201.2",NA
"Combatir el Régimen del 78 defendiendo las libertades, confrontando la represión política y social y el recorte de libertades.","201.1",NA
"Acabando con la impunidad de las fuerzas policiales, con los juicios políticos y la venganza de jueces y tribunales,","605.2",NA
"combatiendo la corrupción sistémica","304",NA
"y plantando cara a los intereses de las élites económicas y el IBEX35,","403",NA
"y declarándonos en rebeldía frente a su Rey y su Casa Real.","202.1",NA
"Proteger y defender los derechos de las clases populares, tomando iniciativas que mejoren y dignifiquen sus vidas.","503",NA
"Nos comprometemos a exigir pensiones mínimas de 1.080€ y su actualización por ley al IPC;","504",NA
"acabar con la precariedad defendiendo un salario mínimo de 1.200€","412",NA
"y un Marco Vasco y Navarro de Relaciones Laborales.","301",NA
"Luchar contra la violencia machista estructural,","503",NA
"hacer frente a la connivencia de la Justicia española con los agresores,","503",NA
"e impulsar medidas para una igualdad real en los ámbitos laboral, social y económico.","503",NA
"Enfrentar la emergencia climática con medidas valientes que acaben con la impunidad de las grandes empresas en la destrucción del planeta,","416.2",NA
"a la vez que apoyaremos las propuestas que busquen un cambio en el modelo social y de consumo que ayuden a frenar la devastación del planeta.","501",NA
"Derogar las leyes antisociales impulsadas por PSOE y PP: reformas laborales, reformas de las pensiones, Ley Mordaza, LOMCE, artículos 135 y 155, Ley de Estabilidad, Ley de Extranjería.","503",NA
"Construir un pueblo soberano como garantía de un futuro libre, democrático, justo y con derechos para toda la ciudadanía.","301",NA
"Empleo","H",NA
"Pensiones","H",NA
"Feminismo","H",NA
"Ecologismo","H",NA
"Bienestar","H",NA
"AGENDA SOCIAL","H",NA
"COMPROMISO SOCIAL CON LA CIUDADANÍA","H",NA
"Queremos construir una sociedad justa y digna, que cuide de las personas y ofrezca garantías para poder vivir mejor.","503",NA
"Apostamos por políticas que se centren en las necesidades de la ciudadanía para alcanzar un modelo social que ofrezca bienestar y derechos para las mayorías populares y trabajadoras de nuestro país.","504",NA
"Y lo haremos teniendo claro que las prioridades de los vascos y las vascas son y serán el empleo,","701",NA
"las pensiones,","504",NA
"la igualdad,","503",NA
"la educación,","506",NA
"el ecologismo","501",NA
"o la vivienda.","504",NA
"Esa es la Agenda Vasca real, la que recoge las materias que realmente preocupan y afectan a la calidad de vida de las y los vascos.","503",NA
"Porque solo nos debemos a nuestro país y sus gentes, y no a los intereses que dictan las constructoras y grandes empresas.","503",NA
"Por ello, EH Bildu se compromete a llevar a Madrid la Agenda Social, trabajando para conseguir nuevas herramientas, nuevas competencias y políticas que amplíen derechos y mejoren el bienestar social de nuestra ciudadanía:","504",NA
"Empleo","H",NA
"Impulsaremos el empleo digno acabando con la precariedad.","701",NA
"Para ello propondremos un salario mínimo de 1.200€ y la competencia para poder fijar y actualizar su cuantía aquí;","412",NA
"trabajaremos para lograr un Marco Vasco y Navarro de Relaciones Laborales","301",NA
"y derogar en su integridad las reformas laborales de PP y PSOE.","701",NA
"Nos comprometemos también a bloquear cualquier medida que tenga como objetivo beneficiar los intereses de las élites económicas por encima de los derechos y bienestar de los y las trabajadoras.","701",NA
"Pensiones","H",NA
"Llevaremos las exigencias de las y los pensionistas vascos a Madrid, comenzando por proponer 1080€ de pensión mínima,","504",NA
"la actualización por ley al IPC","504",NA
"y la derogación definitiva del factor de sostenibilidad.","504",NA
"Derogaremos también las reformas de las pensiones acometidas por PP y PSOE,","504",NA
"y abogaremos por un modelo que contemple un sistema vasco y navarro de pensiones público para asegurar pensiones dignas,","504",NA
"comenzando por la transferencia inmediata de la gestión de las mismas mediante el traspaso del Régimen Económico de la Seguridad Social.","301",NA
"Feminismo","H",NA
"Defenderemos los derechos y libertades de las mujeres,","503",NA
"a luchar contra la violencia machista estructural que sufrimos,","503",NA
"y trabajar por la igualdad desde los valores transformadores feministas para que se reconozca nuestro derecho a decidir sobre nuestros cuerpos, nuestra sexualidad y nuestras vidas.","503",NA
"Propondremos una nueva Ley del Aborto que asegure el derecho de las mujeres a decidir sobre nuestro cuerpo sin plazos y desde un sistema público, gratuito y universal;","604",NA
"cambiar el Código Penal para acabar con la impunidad frente a cualquier agresión machista","503",NA
"y habilitar tribunales especiales ante la violencia machista, con formación específica y presupuesto necesario.","503",NA
