"text","cmp_code","eu_code"
"Programa electoral Eleccions a les Corts espanyoles 2016 ESQUERRA REPUBLICANA Catalunya","H",NA
"El programa en 10 punts","H",NA
"Esquerra Republicana es presenta a les eleccions espanyoles del 26J amb la voluntat de defensar la sobirania de Catalunya","301",NA
"i els drets socials de la seva gent.","504",NA
"Volem fer un nou país, net i just, amb una societat del benestar avançada, diversa i cohesionada","503",NA
"i amb una economia competitiva de base exportadora i industrial que permeti que tothom es pugui guanyar la vida amb dignitat.","410",NA
"Ara toca anar per feina.","606.1",NA
"No és el moment de creure en falses promeses ni de donar crèdit a escenaris políticament impossibles.","606.1",NA
"A Catalunya hi ha una majoria social i parlamentària per impulsar un procés constituent que, amb l'única força de les urnes i la nostra voluntat democràtica, ens condueixi a la República Catalana dels drets, les oportunitats i el benestar col·lectiu.","301",NA
"SOM L'ÚNIC CANVI POSSIBLE.","H",NA
"1 #noupaís és donar suport a les pimes i els emprenedors","402",NA
"Els monopolis, les grans empreses i els tractes de favor de l'Estat perjudiquen el creixement.","403",NA
"La República Catalana promourà polítiques que generaran més oportunitats als emprenedors i a les pimes.","402",NA
"2 #noupaís és garantir la salut pública i de qualitat","504",NA
"Els ciutadans mereixen una atenció sanitària de qualitat.","504",NA
"Ningú pot ser deixat al marge de la societat.","503",NA
"El sistema públic de Salut i Atenció Social serà un pilar fonamental de la República Catalana.","504",NA
"3 #noupaís és un model energètic sostenible, eficient i respectuós amb el consumidor","416.2",NA
"L'Estat espanyol malbarata recursos, prioritza la indústria nuclear, penalitza les energies alternatives i obliga el ciutadà a pagar el sobrecost que genera tot plegat.","416.2",NA
"La República Catalana estarà fermament compromesa amb el consum responsable, la reducció dels residus i una política energètica eficient i que incentivi l'estalvi i la lluita contra l'escalfament global i el canvi climàtic.","416.2",NA
"4 #noupaís és defensar una societat diversa i oberta al món","107",NA
"L'Estat espanyol ens imposa un marc identitari tancat, rígid i immutable, poc receptiu a models més flexibles, moderns i respectuosos amb la diversitat.","607.2",NA
"La República Catalana naixerà de l'esforç d'una ciutadania plural, amb orígens i idiomes diversos, solidària i oberta a tots els pobles del món.","607.2",NA
"5 #noupaís és apostar per una educació inclusiva i de qualitat","506",NA
"El sistema educatiu espanyol té una cultura autoritària i retrògrada.","506",NA
"A més, les taxes d'abandonament escolar dupliquen la mitjana europea.","506",NA
"La República Catalana promourà un model d'excel·lència,","506",NA
"prioritzarà la millora de l'alumnat","506",NA
"i situarà en un lloc preeminent la Formació Professional.","411",NA
"6 #noupaís és gestionar els nostres propis recursos","301",NA
