"text","cmp_code","eu_code"
"El Programa d’un Acord Ciutadà pel Canvi","H",NA
"Hi ha moments que condensen les esperances i il•lusions de molts anys i molta gent.","202.1",NA
"El procés polític dels darrers temps ha obert la possibilitat de canvi .","202.1",NA
"El 15M i la Primavera Valenciana posaren sobre la taula que les institucions estaven en mans de governants que les usaven en benefici propi i dels seus amiguets.","202.1",NA
"Hi ha hagut una separació creixent entre la classe política i la ciutadania.","202.1",NA
"Quan els polítics han hagut de triar entre rescatar a la ciutadania o als poderosos no ha dubtat en trair a qui els havia votat, donant l’esquena a les demandes de la gent.","202.1",NA
"Les decisions s’han presentat com a inevitables, autèntics dictats obligatoris dels poders que no es presenten a les eleccions.","202.1",NA
"Aquesta situació d’expropiació de la democràcia feia necessari que gent corrent donara un pas avant per a recuperar les institucions i posar-les al servei de totes les persones.","202.1",NA
"El 24 de maig vam fer un primer pas que cal continuar.","606.2",NA
"“Som el Poble”, els repetíem.","606.2",NA
"Som eixa comunitat de persones que matinem cada dia pera fer funcionar el país.","606.2",NA
"Nosaltres som les mares, els mestres, les emprenedores, els dependents, les cambreres.","606.2",NA
"Som els i les que patim per a arribar a final de mes, les que tenim cada dia l’amenaça de l’atur o d’haver de tancar l’empresa.","606.2",NA
"Som els veïns i veïnes que convivim paret amb paret.","606.2",NA
"Som les persones perjudicades per eixes polítiques que ara podem canviar:","606.2",NA
"les persones que hem vist baixar els salaris i augmentar la temporalitat,","701",NA
"caure les beques i pujar les taxes de la universitat,","506",NA
"congelar les pensions i augmentar els impostos,","504",NA
"empitjorar els serveis públics i no cobrar la dependència;","504",NA
"les que hem vist com eixos recursos retallats anaven al pou del deute i les butxaques dels polítics,","304",NA
"i com tot el model social que havien construït les nostres mares i pares l’estaven destruint en contra dels interessos i la voluntat de la gent.","504",NA
"Som el poble i no volem mai més unes institucions que governen contra nosaltres.","202.1",NA
"Les elits valencianes tenen un projecte de país molt allunyat de les necessitats de la ciutadania.","202.1",NA
"La seua aposta de convertir-nos en la platja de Madrid ha col·lapsat per insostenible i injusta.","416.2",NA
