"text","cmp_code","eu_code"
"Compromiso con la ciudadanía vasca","H",NA
"Compromiso con Euskal Herria","H",NA
"Queremos construir un país libre, justo y democrático,","202.1",NA
"que asegure todos los derechos y libertades para toda la ciudadanía,","201.2",NA
"protegiendo los intereses de las clases populares y su bienestar social.","503",NA
"Por ello, EH Bildu se compromete a:Defender el derecho de la ciudadanía vasca a ejercer el derecho de autodeterminación a través de un referéndum como solución democrática apoyada por la amplia mayoría de la ciudadanía.","301",NA
"Defender el autogobierno y todas sus herramientas de los ataques del Estado español y sus partidos.","301",NA
"Exigiremos de igual manera la transferencia inmediata de todas las competencias pendientes, sin negociación ni mercadeo, porque los derechos de la sociedad vasca y navarra no se negocian, se cumplen.","301",NA
"(Respetando la voluntad mayoritaria de la ciudadanía vasca y navarra,) Nos comprometemos a frenar a las derechas españolas, haciendo frente a la involución democrática, la re-centralización y el fascismo que representan, utilizando para ello nuestra influencia y nuestros votos.","202.1",NA
"Nos comprometemos también a no pactar con la derecha, haciendo este compromiso extensible a todas las fuerzas vascas y navarras que defiendan los derechos y libertades de la ciudadanía.","201.2",NA
"Nos comprometemos a defender los derechos de los y las presas vascas, acabando con la dispersión, las medidas de excepción y trabajando para que todas estén en casa.","201.2",NA
"Defender las libertades para combatir el Régimen del 78, confrontando la represión política y social y el recorte de libertades que del Régimen emanan.","201.1",NA
"Acabando con la impunidad de las fuerzas policiales, con los juicios políticos y la venganza de jueces y tribunales,","605.2",NA
"combatiendo la corrupción sistémica","304",NA
"y plantando cara a los intereses de las élites económicas y el IBEX35,","403",NA
"y declarándonos en rebeldía frente a su Rey y su casa real.","202.1",NA
"Proteger y defender los derechos de las clases populares, tomando iniciativas que mejoren y dignifiquen sus vidas.","503",NA
"Nos comprometemos a exigir pensiones mínimas de 1080€ y su actualización por ley al IPC;","504",NA
"a acabar con la precariedad defendiendo un salario mínimo de 1200€","412",NA
"y un marco vasco de relaciones laborales.","301",NA
"Nos comprometemos a luchar para acabar con la violencia machista estructural,","503",NA
"hacer frente a la connivencia de la justicia española con los agresores,","503",NA
"e impulsar medidas para una igualdad real en los ámbitos laboral, social y económico.","503",NA
"Derogar las leyes antisociales impulsadas por PSOE y PP: reformas laborales, reformas de las pensiones, ley mordaza, LOMCE, artículos 135 y 155, Ley de Estabilidad.","305.1",NA
"Nos comprometemos con la transparencia plena, haciendo frente a la corrupción generalizada.","304",NA
"Denunciaremos y exigiremos responsabilidades venga esta de donde venga, proponiendo que se retire cualquier subvención pública a los partidos condenados por corrupción.","304",NA
"Defender la República Vasca como garantía de un futuro libre, democrático, justo y con derechos para toda la ciudadanía.","301",NA
